merchant_key,merchant_name,public_entity,ticker,exchange,listing_status,financial_data_level,provider_set,provider_count,public_match_audit_status,official_url_candidates,confirmed_bnpl_adoption_date,confirmed_bnpl_provider,confirmed_date_type,confirmed_evidence_strength,confirmed_evidence_source_type,confirmed_evidence_url,confirmed_evidence_quote_or_note,weak_provider_directory_first_observed_date,weak_provider_directory_provider,weak_provider_directory_url,weak_provider_directory_wayback_url,weak_provider_directory_cdx_error,research_notes,clean_company_key,verified_broad_industry,verified_sub_industry,classification_confidence,verification_status,country_market,cik,listing_match_confidence,needs_listing_review,public_company_name,public_parent_name,adoption_date,adoption_year,adoption_quarter,adoption_quarter_index,sample_main_direct_public,sample_parent_level_robustness,is_us_sec_candidate,ticker_for_sec_match,window_start_year,window_end_year
finishline,FinishLine,JD Sports Fashion plc,JD.L,London Stock Exchange,subsidiary_of_public,parent_level,afterpay; klarna; zip,3,confirmed_or_manually_mapped_public,https://stores.finishline.com/ca/burbank/burbank-town-center.html; https://stores.finishline.com/ca/; https://www.jdsportsfashion.com/investors/,2024/11/26,affirm,official_partnership_announcement,medium_provider_release,provider_press_release,https://investors.affirm.com/news-releases/news-release-details/jd-sports-partners-affirm-offer-flexible-payment-options-just/,Affirm announced JD Sports and Finish Line partnership for U.S. stores and Affirm app shopping.,2021/6/14,afterpay,https://www.afterpay.com/en-us/stores/finish-line,http://web.archive.org/web/20210614115948/https://www.afterpay.com/en-US/stores/finish-line,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2024-11-26 official_partnership_announcement [medium_provider_release]: https://investors.affirm.com/news-releases/news-release-details/jd-sports-partners-affirm-offer-flexible-payment-options-just/",finishline,Sports & Outdoor,Athletic footwear & apparel,high,official_website_verified,UK,,manual,FALSE,,JD Sports Fashion plc,2024/11/26,2024,2024Q4,8100,FALSE,TRUE,FALSE,JD-L,2014,2034
hotelscom,Hotels.com,"Expedia Group, Inc.",EXPE,NASDAQ,subsidiary_of_public,parent_level,affirm; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.hotels.com/lp/hotel-deals/ms-b-hotel-hcom-us-affirm-vacation-packages-25; https://www.trumphotels.com/; https://investors.expediagroup.com/,2024/8/20,affirm,official_adoption_announcement,strong,provider_press_release,https://investors.affirm.com/news-releases/news-release-details/hotelscom-partners-affirm-bring-guests-flexible-way-book-trips/,Affirm announced Hotels.com guests could book accommodations and pay over time with Affirm.,2021/9/27,zip,https://zip.co/us/store/hotels-com,http://web.archive.org/web/20210927204301/https://zip.co/us/store/hotels-com,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2024-08-20 official_adoption_announcement [strong]: https://investors.affirm.com/news-releases/news-release-details/hotelscom-partners-affirm-bring-guests-flexible-way-book-trips/",hotelscom,Travel & Ticketing,Travel booking / lodging marketplace,high,official_website_verified,US,,manual,FALSE,,"Expedia Group, Inc.",2024/8/20,2024,2024Q3,8099,FALSE,TRUE,TRUE,EXPE,2014,2034
instacart,Instacart,Maplebear Inc.,CART,NASDAQ,direct_public,merchant_level,affirm; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.instacart.com/; https://investors.instacart.com/,2023/11/20,klarna,official_adoption_announcement,strong,merchant_company_blog,https://company.instacart.com/enterprise-blog/instacart-and-klarna-partner-to-offer-consumers-more-flexible-ways-to-pay,Instacart announced Klarna Pay in 4 could be selected at checkout beginning that day.,2021/9/23,zip,https://zip.co/us/store/instacart,http://web.archive.org/web/20210923075142/https://zip.co/us/store/instacart,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2023-11-20 official_adoption_announcement [strong]: https://company.instacart.com/enterprise-blog/instacart-and-klarna-partner-to-offer-consumers-more-flexible-ways-to-pay",instacart,Food & Grocery,Grocery delivery,high,official_website_verified,US,,manual,FALSE,Maplebear Inc.,,2023/11/20,2023,2023Q4,8096,TRUE,FALSE,TRUE,CART,2013,2033
princesspolly,PrincessPolly,a.k.a. Brands Holding Corp.,AKA,NYSE,subsidiary_of_public,parent_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://investors.aka-brands.com/,2019/9/23,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20190923133615/https://www.princesspolly.com.au/pages/afterpay,"Wayback snapshot of Princess Polly official AU Afterpay page shows four interest-free payments over eight weeks; note says Afterpay was available in Australia and New Zealand on the AUS store, so use with region caution.",2021/6/14,afterpay,https://www.afterpay.com/en-us/stores/princess-polly-53945,http://web.archive.org/web/20210614111458/https://www.afterpay.com/en-US/stores/princess-polly-53945,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2019-09-23 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20190923133615/https://www.princesspolly.com.au/pages/afterpay",princesspolly,Apparel & Fashion,Bags & accessories,high,official_website_verified,US,,manual,FALSE,,a.k.a. Brands Holding Corp.,2019/9/23,2019,2019Q3,8079,FALSE,TRUE,TRUE,AKA,2009,2029
ticketmaster,Ticketmaster,"Live Nation Entertainment, Inc.",LYV,NYSE,subsidiary_of_public,parent_level,affirm; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.ticketmaster.com/; https://investors.livenationentertainment.com/,2023/5/31,klarna,first_observed_official_page,strong_wayback_official_page,wayback_official_help_page,http://web.archive.org/web/20230531044900/https://help.ticketmaster.com/hc/en-us/articles/9754255907473-Klarna-Everything-you-need-to-know,Wayback snapshot of Ticketmaster official Klarna help page shows Klarna payment information.,2025/1/14,klarna,https://www.klarna.com/us/store/93242bd2-e2e7-4e18-b212-70da9b576cda/ticketmaster/pay-with-klarna/,http://web.archive.org/web/20250114142524/https://www.klarna.com/us/store/93242bd2-e2e7-4e18-b212-70da9b576cda/Ticketmaster/pay-with-klarna/,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2023-05-31 first_observed_official_page [strong_wayback_official_page]: http://web.archive.org/web/20230531044900/https://help.ticketmaster.com/hc/en-us/articles/9754255907473-Klarna-Everything-you-need-to-know",ticketmaster,Travel & Ticketing,Event tickets,high,official_website_verified,US,,manual,FALSE,,"Live Nation Entertainment, Inc.",2023/5/31,2023,2023Q2,8094,FALSE,TRUE,TRUE,LYV,2013,2033
walmart,Walmart,Walmart Inc.,WMT,NASDAQ,direct_public,merchant_level,afterpay; klarna; zip,3,auto_public_match_needs_light_review,https://www.walmart.com/; https://finance.yahoo.com/quote/WMT,2019/2/27,affirm,official_adoption_started,strong,provider_press_release,https://investors.affirm.com/news-releases/news-release-details/affirm-and-walmart-announce-omnichannel-partnership/,"Affirm announced Walmart shoppers could use Affirm in stores, with Walmart.com integration planned over the following weeks.",2021/9/23,zip,https://zip.co/us/store/walmart,http://web.archive.org/web/20210923081837/https://zip.co/us/store/walmart,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2019-02-27 official_adoption_started [strong]: https://investors.affirm.com/news-releases/news-release-details/affirm-and-walmart-announce-omnichannel-partnership/",walmart,Baby & Kids,Toys,high,official_website_verified,,,high,FALSE,Walmart Inc.,,2019/2/27,2019,2019Q1,8077,TRUE,FALSE,TRUE,WMT,2009,2029
academysportsoutdoors,academysportsoutdoors,"Academy Sports and Outdoors, Inc.",ASO,NASDAQ,direct_public,merchant_level,affirm; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.academy.com/; https://investors.academy.com/,2025/7/22,klarna_sezzle,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,http://web.archive.org/web/20250722133005/https://www.academy.com/help/buy-now-pay-later,"Wayback snapshot of Academy official BNPL help page shows Buy Now, Pay Later options.",2021/9/27,zip,https://zip.co/us/store/academy-sports-outdoors,http://web.archive.org/web/20210927183745/https://zip.co/us/store/academy-sports-outdoors,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna_sezzle 2025-07-22 first_observed_official_page [strong_wayback_official_page]: http://web.archive.org/web/20250722133005/https://www.academy.com/help/buy-now-pay-later",academysportsoutdoors,Apparel & Fashion,Fashion / apparel,high,official_website_verified,US,,manual,FALSE,"Academy Sports and Outdoors, Inc.",,2025/7/22,2025,2025Q3,8103,TRUE,FALSE,TRUE,ASO,2015,2035
airbnb,airbnb,"Airbnb, Inc.",ABNB,NASDAQ,direct_public,merchant_level,affirm; klarna; zip,3,auto_public_match_needs_light_review,https://www.airbnb.com/; https://finance.yahoo.com/quote/ABNB,2023/5/18,klarna,official_adoption_announcement,strong,provider_press_release,https://www.klarna.com/international/press/klarna-and-airbnb-offer-flexible-payments-for-guests/,Klarna announced Airbnb guests in the U.S. and Canada could use flexible payment options for bookings.,2021/9/20,zip,https://zip.co/us/store/airbnb,http://web.archive.org/web/20210920222557/https://zip.co/us/store/airbnb,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2023-05-18 official_adoption_announcement [strong]: https://www.klarna.com/international/press/klarna-and-airbnb-offer-flexible-payments-for-guests/",airbnb,Travel & Ticketing,Travel booking / lodging marketplace,high,official_website_verified,,,high,FALSE,"Airbnb, Inc.",,2023/5/18,2023,2023Q2,8094,TRUE,FALSE,TRUE,ABNB,2013,2033
asos,asos,ASOS Plc,ASC.L,London Stock Exchange,direct_public,merchant_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://www.asosplc.com/investors/,2019/12/16,clearpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20191216175204/https://www.asos.com/payments-and-deliveries/clearpay/,Wayback snapshot of ASOS official Clearpay payment page shows customers could split ASOS purchases with Clearpay.,2020/8/5,clearpay,https://www.clearpay.co.uk/en-GB/stores/asos-20612,http://web.archive.org/web/20200805013135/https://www.clearpay.co.uk/en-GB/stores/asos-20612,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: clearpay 2019-12-16 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20191216175204/https://www.asos.com/payments-and-deliveries/clearpay/",asos,Apparel & Fashion,Bags & accessories,high,official_website_verified,UK,,manual,FALSE,ASOS Plc,,2019/12/16,2019,2019Q4,8080,TRUE,FALSE,FALSE,ASC-L,2009,2029
boohoo,boohoo,Boohoo Group plc,BOO.L,London Stock Exchange,direct_public,merchant_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://www.boohooplc.com/investors/,2025/5/12,clearpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20250512210107/https://www.boohoo.com/pages/informational/payments/clearpay,Wayback snapshot of boohoo official Clearpay payment information page; late official-page observation relative to weak provider-directory date.,2021/9/27,zip,https://zip.co/us/store/boohoo,http://web.archive.org/web/20210927201836/https://zip.co/us/store/boohoo,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: clearpay 2025-05-12 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20250512210107/https://www.boohoo.com/pages/informational/payments/clearpay",boohoo,Apparel & Fashion,Bags & accessories,high,official_website_verified,UK,,manual,FALSE,Boohoo Group plc,,2025/5/12,2025,2025Q2,8102,TRUE,FALSE,FALSE,BOO-L,2015,2035
dsw,dsw,Designer Brands Inc.,DBI,NYSE,subsidiary_of_public,parent_level,affirm; afterpay; zip,3,confirmed_or_manually_mapped_public,https://www.dsw.com/; https://investors.designerbrands.com/,2020/10/13,afterpay,official_in_store_rollout,medium_provider_release,provider_press_release,https://www.prnewswire.com/news-releases/afterpay-offers-in-store-payment-solution-across-us-301150934.html,Afterpay PRNewswire release announced its U.S. in-store solution and listed select DSW stores among participating retailers.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/dsw,http://web.archive.org/web/20210514200152/https://www.afterpay.com/en-US/stores/dsw,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-10-13 official_in_store_rollout [medium_provider_release]: https://www.prnewswire.com/news-releases/afterpay-offers-in-store-payment-solution-across-us-301150934.html",dsw,Sports & Outdoor,Athletic footwear & apparel,medium,official_website_verified,US,,manual,FALSE,,Designer Brands Inc.,2020/10/13,2020,2020Q4,8084,FALSE,TRUE,TRUE,DBI,2010,2030
ebay,eBay,eBay Inc.,EBAY,NASDAQ,direct_public,merchant_level,afterpay; klarna; zip,3,auto_public_match_needs_light_review,https://www.cnbcindonesia.com/tech/20190315155326-37-60967/yang-lain-sudah-unicorn-duet-e-bay-telkom-kok-masih-kecoa; https://finance.yahoo.com/quote/EBAY,2025/4/23,klarna,official_us_rollout,strong,merchant_press_release,https://www.ebayinc.com/stories/news/ebay-and-klarna-deepen-global-strategic-partnership-to-empower-flexible-shopping-in-the-us/,eBay announced Klarna flexible payment options rolling out to U.S. shoppers.,2021/9/21,zip,https://zip.co/us/store/ebay,http://web.archive.org/web/20210921001820/https://zip.co/us/store/ebay,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2024-12-12 official_europe_rollout [strong_non_us]: https://www.klarna.com/international/press/ebay-and-klarna-expand-partnership-bringing-buy-now-pay-later-bnpl-to-new-markets/ | klarna 2025-04-23 official_us_rollout [strong]: https://www.ebayinc.com/stories/news/ebay-and-klarna-deepen-global-strategic-partnership-to-empower-flexible-shopping-in-the-us/",ebay,Marketplace / General Retail,Cross-border marketplace,high,official_website_verified,,,high,FALSE,eBay Inc.,,2025/4/23,2025,2025Q2,8102,TRUE,FALSE,TRUE,EBAY,2015,2035
gap,gap,"The Gap, Inc.",GAP,NYSE,direct_public,merchant_level,affirm; afterpay; klarna,3,auto_public_match_needs_light_review,https://www.gap.com/; https://finance.yahoo.com/quote/GAP,2020/11/11,afterpay,official_online_checkout_adoption,strong,provider_press_release,https://www.prnewswire.com/news-releases/gap-inc-and-afterpay-announce-new-partnership-in-time-for-holiday-shopping-301170700.html,Afterpay announced Gap Inc. online shoppers could choose Afterpay at checkout across Gap portfolio brands.,2024/5/28,afterpay,https://www.afterpay.com/en-us/stores/gap,http://web.archive.org/web/20240528161932/https://www.afterpay.com/en-US/stores/gap,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-11-11 official_online_checkout_adoption [strong]: https://www.prnewswire.com/news-releases/gap-inc-and-afterpay-announce-new-partnership-in-time-for-holiday-shopping-301170700.html | klarna 2025-09-11 official_checkout_adoption_or_expansion [strong]: https://www.klarna.com/international/press/gap-inc-partners-with-klarna-to-offer-seamless-flexible-payments-across/",gap,Apparel & Fashion,Fashion / apparel,high,official_website_verified,,,high,FALSE,"The Gap, Inc.",,2020/11/11,2020,2020Q4,8084,TRUE,FALSE,TRUE,GAP,2010,2030
